index,Y,X,state,Lat,Lon,official_name,owner_operator,closest_city,match_confidence,research_note
0,35288901,-101575034,Texas - 1,35.289,-101.575,Fermi America Advanced Energy and Intelligence Campus (Project Matador),Fermi America,Panhandle,high,Major Fermi America campus near Amarillo/Panhandle.
1,3917949,-85896024,Indiana - 1,39.179,-85.896,DartPoints CLU01 – Columbus,DartPoints,Columbus,high,DartPoints Columbus facility.
2,38889302,-82100506,West Virginia,38.889,-82.101,Point Pleasant data-center project,Not publicly disclosed,Point Pleasant,low,Public sources do not confidently identify an operating company at the exact coordinate.
3,39387012,-84564907,Ohio - 1,39.387,-84.565,CenterGrid Hamilton Data Center,CenterGrid (Vora Group),Hamilton,medium,Publicly reported CenterGrid Hamilton-area facility.
4,37790226,-77431501,Virginia - 1,37.790,-77.432,Hanover Technology Park,Tract,Ashland,medium,Large data-center development campus in Hanover County.
5,32495963,-91636214,Louisiana,32.496,-91.636,Meta Hyperion Data Center Campus,Meta,Rayville,high,Meta Hyperion campus in northeast Louisiana.
6,39287199,-112463972,Utah,39.287,-112.464,MercuryDelta Data Center and Electrical Generating Facility,"Fibernet MercuryDelta, LLC",Delta,medium,Public project filing identifies MercuryDelta / Fibernet.
7,30962462,-102845272,Texas - 2,30.962,-102.845,Pecos County data-center campus,"Amazon Data Services, Inc.",Fort Stockton,medium,Best public match in the Fort Stockton/Pecos County corridor; several projects are nearby.
8,3499344,-90034117,Mississippi,34.993,-90.034,xAI Colossus / Southaven-area campus,xAI,Southaven,medium,Best public match for the north Mississippi / Memphis-area AI data-center cluster.
9,4171548,-88465393,Illinois - 1,41.715,-88.465,Project Cardinal Data Center Campus,Pioneer Development LLC,Yorkville,high,Public Yorkville data-center development.
10,33428337,-112725673,Arizona,33.428,-112.726,Buckeye Tech Corridor,Tract,Buckeye,high,Tract data-center campus in Buckeye.
11,41459219,-88060298,Illinois - 2,41.459,-88.060,Joliet Technology Center,PowerHouse Data Centers / Hillwood,Joliet,high,Large Joliet data-center campus.
12,41035558,-104801437,Wyoming,41.036,-104.801,Microsoft Bison Business Park Data Center,Microsoft,Cheyenne,medium,Best public facility match in Cheyenne.
13,4005758,-86540225,Indiana - 2,40.058,-86.540,Meta Lebanon Data Center,Meta,Lebanon,high,"Meta data center in Lebanon, Indiana."
14,32631364,-100539364,Texas  - 3,32.631,-100.539,IREN Sweetwater Data Center,IREN,Sweetwater,medium,Best public match in the Sweetwater area.
15,32542862,-99546511,Texas  - 4 ,32.543,-99.547,Vantage Frontier TX3 Data Center Campus,Vantage Data Centers,Abilene,high,Vantage Frontier campus east of Abilene.
16,390099,-77463252,Virginia - 2,39.010,-77.463,CloudHQ LC1,CloudHQ,Ashburn,high,CloudHQ Loudoun County facility.
17,32505085,-99779704,Texas - 5,32.505,-99.780,Stargate Abilene,Crusoe / Lancium (Oracle tenant),Abilene,high,Stargate AI campus in Abilene.
18,41030754,-85053443,Indiana - 3,41.031,-85.053,Google Fort Wayne Data Center,Google,Fort Wayne,high,Google Fort Wayne data center.
19,41739181,-87534538,Illinois - 3,41.739,-87.535,Digital Crossroad – nearest public facility match,Digital Crossroad,Chicago,low,Coordinate is in the Chicago metro; exact facility/operator match is not fully confirmed.
20,35018366,-101308974,Texas - 6,35.018,-101.309,Llano Project Data Center,Not publicly confirmed,Claude,low,"Public construction/project references exist, but operator ownership is not confidently established."
21,3199482,-106363367,Texas - 7,31.995,-106.363,Meta El Paso Data Center,Meta,El Paso,high,Meta data center campus in El Paso.
22,41728513,-86120488,Indiana - 3,41.729,-86.120,Microsoft St. Joseph County Data Center Campus,Microsoft,Mishawaka,medium,Microsoft has publicly documented St. Joseph County data-center development.
23,42228252,-83437076,Michigan,42.228,-83.437,US Signal Detroit / Belleville Data Center,US Signal,Belleville,high,US Signal Detroit-area facility in Belleville.
24,31967609,-96513711,Texas - 8,31.968,-96.514,Riot Platforms Corsicana Data Center,Riot Platforms,Corsicana,high,Riot Corsicana campus.
25,41680829,-93534547,Iowa,41.681,-93.535,Meta Altoona Data Center,Meta,Altoona,high,Meta Altoona campus.
26,39912807,-83723718,Ohio - 2,39.913,-83.724,5C CMH01 AI Data Center Campus (PrimeOhio),5C Data Centers / 5C Group,Springfield,medium,Best public match for the Springfield/PrimeOhio development.
27,329363,-8382183,Georgia - 1,32.936,-83.822,Rumble Technology Park,Cloverleaf Infrastructure,Forsyth,medium,Best public match for the Monroe County / Forsyth data-center development.
28,38013642,-77495813,Virginia - 3,38.014,-77.496,CleanArc VA-1 Campus,CleanArc Data Centers,Ruther Glen,medium,Best public match in Caroline County.
29,32492279,-99782282,Texas - 9,32.492,-99.782,Crusoe Abilene Campus,Crusoe (Microsoft tenant),Abilene,medium,Public Crusoe/Microsoft Abilene AI infrastructure match.
30,37713705,-7761179,Virginia - 4 ,37.714,-77.612,Tuckahoe Technology Park,Tract,Rockville,medium,Tract campus in the western Richmond/Henrico area.
31,39539214,-119493869,Nevada,39.539,-119.494,Novva Data Centers – Tahoe Reno,Novva Data Centers,Sparks,medium,Nearest major public facility match in the Tahoe-Reno industrial corridor.
32,40136563,-82718944,Ohio - 3,40.137,-82.719,Meta New Albany Data Center,Meta,Johnstown,medium,Best public match in the New Albany/Johnstown cluster.
33,33774444,-100869076,Texas - 10,33.774,-100.869,Galaxy Helios I,Galaxy Digital,Afton,high,Galaxy Helios campus in Dickens County.
34,3910259,-94306323,Missouri,39.103,-94.306,Nebius AI Data Center – Independence,Nebius,Independence,medium,Publicly reported Nebius project in Independence.
35,38219361,-77476669,Virginia - 5,38.219,-77.477,AWS IAD450,Amazon Web Services,Fredericksburg,high,AWS facility in the Fredericksburg/Spotsylvania area.
36,39909274,-82550586,Ohio - 4,39.909,-82.551,Microsoft Hebron Data Center – area match,Microsoft,Hebron,medium,Best public match in the Hebron/Licking County cluster.
37,34388929,-100046262,Texas - 11,34.389,-100.046,IREN Childress,IREN,Childress,high,IREN Childress data-center campus.
38,48146227,-103774395,North Dakota,48.146,-103.774,Atlas Power Data Center – Williston,Atlas Power,Williston,medium,Best public match in the Williston area.
39,30574396,-97080704,Texas - 12,30.574,-97.081,Blueprint Projects Data Center,BPP Projects LLC,Taylor,medium,Public Taylor development southeast of town.
40,31828629,-96778642,Texas - 13,31.829,-96.779,Freestone Data Center,C1 Freestone 1 LLC / Paile LLC,Hubbard,medium,Public property/project records identify the Freestone site and related entities.
41,29415791,-9879675,Texas - 14,29.416,-98.797,Vantage San Antonio Data Center – nearest public campus match,Vantage Data Centers,San Antonio,medium,Nearest major public data-center campus match.
42,3366741,-116134729,California - 1,33.667,-116.135,Coachella Data Center & Microgrid proposal,DMK Project Solutions Services (proposal),Coachella,low,Proposal-stage match; exact future operator not publicly confirmed.
